iso_time,mcu_ms,seq,v_pack,v_pckp,cell1,cell2,i,i_avg,p,soc,cap_mah,full_mah,age,cycles,temp,die_temp,flow,chg_fet,dis_fet,full,ship,faulted,permfail,tte_s,ttf_s,status,prot_status,prot_alrt,nbatt_status
2026-08-14T04:02:49.979,2781553,11068,7.9218,7.6296,3.9593,3.9608,-0.0531,-0.0062,-0.211,77.4,8831,11400,115.9,0.0,22.8,24.6,discharging,False,True,False,False,False,False,0,0,32770,0,1024,0
2026-08-14T04:02:50.477,2782053,11070,7.9181,7.6296,3.9593,3.9608,-0.0181,-0.0012,-0.072,77.4,8831,11400,115.9,0.0,22.8,24.6,idle,False,True,False,False,False,False,0,0,32770,0,1024,0
2026-08-14T04:02:50.976,2782553,11072,7.9181,7.6296,3.9588,3.9627,-0.0384,0.0,-0.153,77.4,8831,11400,115.9,0.0,22.8,24.6,discharging,True,True,False,False,False,False,0,0,32770,0,1024,0
2026-08-14T04:02:51.474,2783053,11074,7.9181,7.6296,3.9588,3.9627,-0.0371,-0.0046,-0.148,77.4,8831,11400,115.9,0.0,22.8,24.5,discharging,True,True,False,False,False,False,0,0,32770,0,1024,0
2026-08-14T04:02:51.973,2783553,11076,7.9181,7.6296,3.9588,3.9599,-0.0328,-0.0065,-0.131,77.4,8831,11400,115.9,0.0,22.8,24.5,discharging,True,True,False,False,False,False,0,0,32770,0,1024,0
2026-08-14T04:02:52.472,2784053,11078,7.9181,7.6296,3.9588,3.9603,-0.039,-0.0096,-0.155,77.4,8831,11400,115.9,0.0,22.8,24.7,discharging,True,True,False,False,False,False,0,0,32770,0,1024,0
2026-08-14T04:02:52.970,2784553,11080,7.9181,7.6296,3.9581,3.9603,-0.0343,-0.0109,-0.137,77.4,8831,11400,115.9,0.0,22.8,24.6,discharging,True,True,False,False,False,False,0,0,32770,0,1024,0
2026-08-14T04:02:53.469,2785053,11082,7.9181,7.6296,3.9599,3.9601,-0.0362,-0.0137,-0.144,77.4,8831,11400,115.9,0.0,22.8,24.5,discharging,True,True,False,False,False,False,0,0,32770,0,1024,0
2026-08-14T04:02:53.967,2785553,11084,7.9181,7.6296,3.9599,3.9619,-0.0409,-0.0153,-0.163,77.4,8831,11400,115.9,0.0,22.8,24.7,discharging,True,True,False,False,False,False,0,0,32770,0,1024,0
2026-08-14T04:02:54.466,2786053,11086,7.9181,7.6296,3.9593,3.961,-0.0325,-0.0168,-0.129,77.4,8831,11400,115.9,0.0,22.8,24.6,discharging,True,True,False,False,False,False,0,0,32770,0,1024,0
2026-08-14T04:02:54.965,2786553,11088,7.9181,7.6296,3.9596,3.961,-0.0378,-0.019,-0.15,77.4,8831,11400,115.9,0.0,22.8,24.6,discharging,True,True,False,False,False,False,0,0,32770,0,1024,0
2026-08-14T04:02:55.462,2787053,11090,7.9181,7.6296,3.9596,3.9614,-0.0281,-0.0196,-0.112,77.4,8831,11400,115.9,0.0,22.8,24.7,idle,True,True,False,False,False,False,0,0,32770,0,1024,0
2026-08-14T04:02:55.961,2787553,11092,7.9181,7.6296,3.9597,3.9607,-0.0237,-0.0209,-0.094,77.4,8831,11400,115.9,0.0,22.8,24.7,idle,True,True,False,False,False,False,0,0,32770,0,1024,0
2026-08-14T04:02:56.460,2788053,11094,7.9181,7.3225,3.9597,3.9607,-0.0362,0.0,-0.144,77.4,8831,11400,115.9,0.0,22.8,24.6,discharging,True,True,False,False,False,False,0,0,32770,0,1024,0
2026-08-14T04:02:56.958,2788553,11096,7.9175,7.3225,3.9597,3.9607,-0.015,-0.0106,-0.06,77.4,8831,11400,115.9,0.0,22.8,24.6,idle,False,True,False,False,False,False,0,0,32770,0,1024,0
2026-08-14T04:02:57.458,2789053,11098,7.9175,7.3225,3.9597,3.9597,-0.034,-0.0021,-0.136,77.4,8831,11400,115.9,0.0,22.8,24.6,discharging,False,True,False,False,False,False,0,0,32770,0,1024,0
2026-08-14T04:02:57.956,2789553,11100,7.9168,7.5703,3.9597,3.9597,-0.0159,0.0,-0.064,77.4,8831,11400,115.9,0.0,22.8,24.6,idle,False,True,False,False,False,False,0,0,32770,0,1024,0
2026-08-14T04:02:58.455,2790053,11102,7.9168,7.5703,3.9593,3.9597,-0.0706,0.0,-0.28,77.4,8831,11400,115.9,0.0,22.8,24.5,discharging,False,True,False,False,False,False,0,0,32770,0,1024,0
2026-08-14T04:02:58.953,2790553,11104,7.9168,7.5703,3.9593,3.9608,-0.0184,-0.0012,-0.073,77.4,8831,11400,115.9,0.0,22.8,24.5,idle,False,True,False,False,False,False,0,0,32770,0,1024,0
2026-08-14T04:02:59.453,2791053,11106,7.919,7.4137,3.9593,3.9608,-0.0631,-0.004,-0.251,77.4,8831,11400,115.9,0.0,22.8,24.7,discharging,False,True,False,False,False,False,0,0,32770,0,1024,0
2026-08-14T04:02:59.952,2791553,11108,7.919,7.4137,3.9605,3.9608,-0.0184,-0.005,-0.073,77.4,8831,11400,115.9,0.0,22.8,24.5,idle,False,True,False,False,False,False,0,0,32770,0,1024,0
2026-08-14T04:03:00.450,2792053,11110,7.919,7.2993,3.9605,3.9623,-0.0571,-0.009,-0.227,77.4,8831,11400,115.9,0.0,22.8,24.7,discharging,False,True,False,False,False,False,0,0,32770,0,1024,0
2026-08-14T04:03:00.948,2792553,11112,7.9181,7.2993,3.9605,3.9623,-0.0509,-0.0031,-0.203,77.4,8831,11400,115.9,0.0,22.8,24.7,discharging,False,True,False,False,False,False,0,0,32770,0,1024,0
2026-08-14T04:03:01.448,2793053,11114,7.9181,7.2993,3.9581,3.9614,-0.0459,0.0,-0.182,77.4,8831,11400,115.9,0.0,22.8,24.5,discharging,False,True,False,False,False,False,0,0,32770,0,1024,0
2026-08-14T04:03:01.946,2793553,11116,7.9181,7.6859,3.9581,3.9614,-0.0346,0.0,-0.137,77.4,8831,11400,115.9,0.0,22.8,24.6,discharging,True,True,False,False,False,False,0,0,32770,0,1024,0
2026-08-14T04:03:02.445,2794053,11118,7.924,7.6859,3.9581,3.9614,-0.0362,-0.0021,-0.144,77.4,8831,11400,115.9,0.0,22.8,24.5,discharging,False,True,False,False,False,False,0,0,32770,0,1024,0
2026-08-14T04:03:02.943,2794553,11120,7.924,7.6859,3.9592,3.9614,-0.0337,-0.005,-0.134,77.4,8831,11400,115.9,0.0,22.8,24.5,discharging,False,True,False,False,False,False,0,0,32770,0,1024,0
2026-08-14T04:03:03.442,2795053,11122,7.924,7.9115,3.9592,3.9614,-0.0368,-0.0021,-0.147,77.4,8831,11400,115.9,0.0,22.8,24.7,discharging,False,True,False,False,False,False,0,0,32770,0,1024,0
2026-08-14T04:03:03.940,2795553,11124,7.9181,7.9115,3.9599,3.9614,-0.0559,-0.0034,-0.222,77.4,8831,11400,115.9,0.0,22.8,24.6,discharging,False,True,False,False,False,False,0,0,32770,0,1024,0
2026-08-14T04:03:04.440,2796053,11126,7.9181,7.9115,3.9599,3.9616,-0.0465,0.0,-0.185,77.4,8831,11400,115.9,0.0,22.8,24.6,discharging,False,True,False,False,False,False,0,0,32770,0,1024,0
2026-08-14T04:03:04.937,2796553,11128,7.9228,7.4234,3.9599,3.9616,-0.0106,-0.0034,-0.043,77.4,8831,11400,115.9,0.0,22.8,24.7,idle,False,True,False,False,False,False,0,0,32770,0,1024,0
2026-08-14T04:03:05.436,2797053,11130,7.9228,7.4234,3.9575,3.9616,-0.0512,0.0,-0.203,77.4,8831,11400,115.9,0.0,22.8,24.5,discharging,False,True,False,False,False,False,0,0,32770,0,1024,0
2026-08-14T04:03:05.934,2797553,11132,7.9228,7.4234,3.9575,3.9612,-0.0196,-0.0012,-0.078,77.4,8831,11400,115.9,0.0,22.8,24.5,idle,False,True,False,False,False,False,0,0,32770,0,1024,0
2026-08-14T04:03:06.434,2798053,11134,7.9203,7.3181,3.9575,3.9612,-0.0568,-0.0037,-0.225,77.4,8831,11400,115.9,0.0,22.8,24.6,discharging,False,True,False,False,False,False,0,0,32770,0,1024,0
2026-08-14T04:03:06.932,2798553,11136,7.9203,7.3181,3.959,3.9612,-0.0393,0.0,-0.156,77.4,8831,11400,115.9,0.0,22.8,24.6,discharging,False,True,False,False,False,False,0,0,32770,0,1024,0
2026-08-14T04:03:07.430,2799053,11138,7.9203,7.7959,3.959,3.9607,-0.0296,-0.0043,-0.118,77.4,8831,11400,115.9,0.0,22.8,24.6,idle,False,True,False,False,False,False,0,0,32770,0,1024,0
2026-08-14T04:03:07.929,2799553,11140,7.9168,7.7959,3.959,3.9607,-0.0368,-0.0025,-0.147,77.4,8831,11400,115.9,0.0,22.8,24.5,discharging,False,True,False,False,False,False,0,0,32770,0,1024,0
2026-08-14T04:03:08.429,2800053,11142,7.9168,7.7959,3.9593,3.9614,-0.0118,-0.0031,-0.048,77.4,8831,11400,115.9,0.0,22.8,24.5,idle,False,True,False,False,False,False,0,0,32770,0,1024,0
2026-08-14T04:03:08.927,2800553,11144,7.9168,7.8218,3.9593,3.9614,-0.0303,-0.0018,-0.121,77.4,8831,11400,115.9,0.0,22.8,24.5,discharging,False,True,False,False,False,False,0,0,32770,0,1024,0
2026-08-14T04:03:09.425,2801053,11146,7.9153,7.8218,3.9593,3.9614,-0.0493,0.0,-0.196,77.4,8831,11400,115.9,0.0,22.8,24.6,discharging,False,True,False,False,False,False,0,0,32770,0,1024,0
2026-08-14T04:03:09.924,2801553,11148,7.9153,7.8218,3.9588,3.9608,-0.0493,-0.0062,-0.196,77.4,8831,11400,115.9,0.0,22.8,24.6,discharging,False,True,False,False,False,False,0,0,32770,0,1024,0
2026-08-14T04:03:10.422,2802053,11150,7.9153,7.3953,3.9588,3.9608,-0.0493,-0.0031,-0.196,77.4,8831,11400,115.9,0.0,22.8,24.5,discharging,False,True,False,False,False,False,0,0,32770,0,1024,0
